data;

param D = 144;
param E = 38;
param V = 12;

param:  link_orig	link_term	link_cost:=
	1		1			12			12
	2       12			1			12
	3		1		    6			9
	4		6		    1			9
	5		1		    7			11
	6		7		    1			11
	7		1		    4		 	9
	8		4		    1			9
	9		1		    8			5
	10  	8		    1			5
	11  	1		    9			3
	12  	9		    1			3
	13  	7		    12			11
	14  	12		    7			11
	15  	4		    5			6
	16  	5		    4			6
	17  	8		    11			7
	18  	11		    8			7
	19  	9		    2			5
	20		2			9			5
	21      11			3			6
	22		3		    11			6
	23		5		    11			7
	24		11		    5			7
	25		10		    7			7
	26		7		    10		 	7
	27		7		    4			5
	28		4		    7			5
	29  	4		    8			6
	30  	8		    4			6
	31  	5		    3			7
	32  	3		    5			7
	33  	3		    2			8
	34  	2		    3			8
	35  	11		    2			7
	36  	2		    11			7
	37  	8		    9			2
	38  	9		    8			2;

param M := 3;

	

param: demand_orig	demand_term  :=
	1		1			2
	2		1			3
	3		1			4
	4		1			5
	5		1			6
	6		1			7
	7		1			8
	8		1			9
	9		1			10
	10		1			11
	11		1			12
	12		2			1
	13		2			3
	14		2			4
	15		2			5
	16		2			6
	17		2			7
	18		2			8
	19		2			9
	20		2			10
	21		2			11
	22		2			12
	23		3			2
	24		3			1
	25		3			4
	26		3			5
	27		3			6
	28		3			7
	29		3			8
	30		3			9
	31		3			10
	32		3			11
	33		3			12
	34		4			2
	35		4			3
	36		4			1
	37		4			5
	38		4			6
	39		4			7
	40		4			8
	41		4			9
	42		4			10
	43		4			11
	44		4			12
	45		5			2
	46		5			3
	47		5			4
	48		5			1
	49		5			6
	50		5			7
	51		5			8
	52		5			9
	53		5			10
	54		5			11
	55		5			12
	56		6			2
	57		6			3
	58		6			4
	59		6			5
	60		6			1
	61		6			7
	62		6			8
	63		6			9
	64		6			10
	65		6			11
	66		6			12
	67		7			2
	68		7			3
	69		7			4
	70		7			5
	71		7			6
	72		7			1
	73		7			8
	74		7			9
	75		7			10
	76		7			11
	77		7			12
	78		8			2
	79		8			3
	80		8			4
	81		8			5
	82		8			6
	83		8			7
	84		8			1
	85		8			9
	86		8			10
	87		8			11
	88		8			12
	89		9			2
	90		9			3
	91		9			4
	92		9			5
	93		9			6
	94		9			7
	95		9			8
	96		9			1
	97		9			10
	98		9			11
	99		9			12
	100		10			2
	101		10			3
	102		10			4
	103		10			5
	104		10			6
	105		10			7
	106		10			8
	107		10			9
	108		10			1
	109		10			11
	110		10			12
	111		11			2
	112		11			3
	113		11			4
	114		11			5
	115		11			6
	116		11			7
	117		11			8
	118		11			9
	119		11			10
	120		11			11
	121		11			12
	122		12			2
	123		12			3
	124		12			4
	125		12			5
	126		12			6
	127		12			7
	128		12			8
	129		12			9
	130		12			10
	131		12			11
	133		1			1
	134		2			2
	135		3			3
	136		4			4
	137		5			5
	138		6			6
	139		7			7
	140		8			8
	141		9			9
	142		10			10
	143		11			11
	144		12			12;
	
param h:	1	2	3	4  	5  	6	7  	8  	9  	10  11	12	:=
		1	0  2 	21 	7 	28  5	29	11	0	9	7	16
 		2	5	0	24 	12  1  	4 	23  7 	26 	22 	27 	28
 		3	18 	14 	0 	12 	13  7 	28 	28 	27 	14 	11 	25
 		4	17 	25 	18 	0 	11  2 	24  9  	4  	6 	17 	26
 		5	17  3 	13 	16  0  	2 	10 	19 	29 	25 	12  2
 		6	19  6 	18 	13 	12  0 	10  5 	28 	24 	21  9
		7	26  1 	22 	19 	13 	19 	0 	19  9 	23  3 	20
 	   	8	27  9  	5 	18  2  	2 	13 	0  	6 	21  4 	22
 		9	20  8  	6 	11 	26  5  	6 	20 	0 	16 	21 	24
 		10	18 	29 	16 	12 	25 	11  6 	23 	20 	0 	16  9
 		11	1  	5 	27 	29 	15  5 	10 	20 	27  6 	0  	2
 		12	14 	25 	18 	25 	27 	23 	22 	22 	23 	25  8 	0;
		
		
end;
